date,adjusted_close
2025-01-02,90.0108
2025-01-03,90.0311
2025-01-06,90.0610
2025-01-07,90.1002
2025-01-08,90.1488
2025-01-09,90.2067
2025-01-10,90.2736
2025-01-13,90.3495
2025-01-14,90.4341
2025-01-15,90.5272
2025-01-16,90.6284
2025-01-17,90.7377
2025-01-20,90.8545
2025-01-21,90.9786
2025-01-22,91.1097
2025-01-23,91.2472
2025-01-24,91.3909
2025-01-27,91.5403
2025-01-28,91.6950
2025-01-29,91.8544
2025-01-30,92.0180
2025-01-31,92.1855
2025-02-03,92.3562
2025-02-04,92.5296
2025-02-05,92.7051
2025-02-06,92.8823
2025-02-07,93.0605
2025-02-10,93.2391
2025-02-11,93.4176
2025-02-12,93.5955
2025-02-13,93.7720
2025-02-14,93.9467
2025-02-17,94.1189
2025-02-18,94.2882
2025-02-19,94.4538
2025-02-20,94.6153
2025-02-21,94.7721
2025-02-24,94.9237
2025-02-25,95.0696
2025-02-26,95.2093
2025-02-27,95.3423
2025-02-28,95.4682
2025-03-03,95.5865
2025-03-04,95.6968
2025-03-05,95.7988
2025-03-06,95.8922
2025-03-07,95.9765
2025-03-10,96.0516
2025-03-11,96.1172
2025-03-12,96.1731
2025-03-13,96.2191
2025-03-14,96.2551
2025-03-17,96.2810
2025-03-18,96.2967
2025-03-19,96.3022
2025-03-20,96.2975
2025-03-21,96.2828
2025-03-24,96.2579
2025-03-25,96.2233
2025-03-26,96.1788
2025-03-27,96.1249
2025-03-28,96.0617
2025-03-31,95.9895
2025-04-01,95.9086
2025-04-02,95.8194
2025-04-03,95.7222
2025-04-04,95.6174
2025-04-07,95.5054
2025-04-08,95.3868
2025-04-09,95.2619
2025-04-10,95.1313
2025-04-11,94.9955
2025-04-14,94.8550
2025-04-15,94.7104
2025-04-16,94.5622
2025-04-17,94.4109
2025-04-18,94.2573
2025-04-21,94.1018
2025-04-22,93.9450
2025-04-23,93.7875
2025-04-24,93.6299
2025-04-25,93.4729
2025-04-28,93.3169
2025-04-29,93.1625
2025-04-30,93.0104
2025-05-01,92.8610
2025-05-02,92.7149
2025-05-05,92.5727
2025-05-06,92.4348
2025-05-07,92.3017
2025-05-08,92.1740
2025-05-09,92.0520
2025-05-12,91.9363
2025-05-13,91.8272
2025-05-14,91.7251
2025-05-15,89.9793
2025-05-16,89.8939
2025-05-19,89.8163
2025-05-20,89.7470
2025-05-21,89.6861
2025-05-22,89.6339
2025-05-23,89.5905
2025-05-26,89.5562
2025-05-27,89.5311
2025-05-28,89.5153
2025-05-29,89.5089
2025-05-30,89.5119
2025-06-02,89.5244
2025-06-03,89.5464
2025-06-04,89.5778
2025-06-05,89.6186
2025-06-06,89.6686
2025-06-09,89.7279
2025-06-10,89.7961
2025-06-11,89.8732
2025-06-12,89.9589
2025-06-13,90.0530
2025-06-16,90.1552
2025-06-17,90.2653
2025-06-18,90.3829
2025-06-19,90.5076
2025-06-20,90.6392
2025-06-23,90.7772
2025-06-24,90.9212
2025-06-25,91.0708
2025-06-26,91.2255
2025-06-27,91.3848
2025-06-30,91.5484
2025-07-01,91.7155
2025-07-02,91.8858
2025-07-03,92.0587
2025-07-04,92.2337
2025-07-07,92.4101
2025-07-08,92.5874
2025-07-09,92.7651
2025-07-10,92.9426
2025-07-11,93.1193
2025-07-14,93.2946
2025-07-15,93.4679
2025-07-16,93.6387
2025-07-17,93.8063
2025-07-18,93.9704
2025-07-21,94.1302
2025-07-22,94.2852
2025-07-23,94.4350
2025-07-24,94.5790
2025-07-25,94.7167
2025-07-28,94.8477
2025-07-29,94.9715
2025-07-30,95.0877
2025-07-31,95.1960
2025-08-01,95.2958
2025-08-04,95.3870
2025-08-05,95.4692
2025-08-06,95.5422
2025-08-07,95.6056
2025-08-08,95.6594
2025-08-11,95.7033
2025-08-12,95.7372
2025-08-13,95.7611
2025-08-14,95.7748
2025-08-15,95.7784
2025-08-18,95.7719
2025-08-19,95.7554
2025-08-20,95.7289
2025-08-21,95.6925
2025-08-22,95.6466
2025-08-25,95.5912
2025-08-26,95.5267
2025-08-27,95.4532
2025-08-28,95.3712
2025-08-29,95.2810
2025-09-01,95.1829
2025-09-02,95.0773
2025-09-03,94.9647
2025-09-04,94.8455
2025-09-05,94.7202
2025-09-08,94.5893
2025-09-09,94.4533
2025-09-10,94.3128
2025-09-11,94.1682
2025-09-12,94.0202
2025-09-15,93.8693
2025-09-16,93.7161
2025-09-17,93.5612
2025-09-18,93.4051
2025-09-19,93.2484
2025-09-22,93.0917
2025-09-23,91.2600
2025-09-24,91.1079
2025-09-25,90.9575
2025-09-26,90.8094
2025-09-29,90.6641
2025-09-30,90.5221
2025-10-01,90.3839
2025-10-02,90.2501
2025-10-03,90.1211
2025-10-06,89.9973
2025-10-07,89.8793
2025-10-08,89.7674
2025-10-09,89.6621
2025-10-10,89.5637
2025-10-13,89.4726
2025-10-14,89.3891
2025-10-15,89.3135
2025-10-16,89.2460
2025-10-17,89.1871
2025-10-20,89.1367
2025-10-21,89.0953
2025-10-22,89.0628
2025-10-23,89.0396
2025-10-24,89.0256
2025-10-27,89.0209
2025-10-28,89.0257
2025-10-29,89.0399
2025-10-30,89.0635
2025-10-31,89.0965
2025-11-03,89.1388
2025-11-04,89.1903
2025-11-05,89.2509
2025-11-06,89.3204
2025-11-07,89.3987
2025-11-10,89.4855
2025-11-11,89.5806
2025-11-12,89.6837
2025-11-13,89.7946
2025-11-14,89.9129
2025-11-17,90.0382
2025-11-18,90.1703
2025-11-19,90.3087
2025-11-20,90.4530
2025-11-21,90.6027
2025-11-24,90.7575
2025-11-25,90.9168
2025-11-26,91.0801
2025-11-27,91.2470
2025-11-28,91.4169
2025-12-01,91.5892
2025-12-02,91.7635
2025-12-03,91.9392
2025-12-04,92.1157
2025-12-05,92.2925
2025-12-08,92.4689
2025-12-09,92.6443
2025-12-10,92.8184
2025-12-11,92.9903
2025-12-12,93.1596
2025-12-15,93.3258
2025-12-16,93.4881
2025-12-17,93.6462
2025-12-18,93.7995
2025-12-19,93.9474
2025-12-22,94.0895
2025-12-23,94.2253
2025-12-24,94.3543
2025-12-25,94.4760
2025-12-26,94.5902
2025-12-29,94.6963
2025-12-30,94.7940
2025-12-31,94.8831
2026-01-01,94.9632
2026-01-02,95.0340
2026-01-05,95.0953
2026-01-06,95.1470
2026-01-07,95.1888
2026-01-08,95.2207
2026-01-09,95.2426
2026-01-12,95.2544
2026-01-13,95.2561
2026-01-14,95.2477
2026-01-15,95.2294
2026-01-16,95.2012
2026-01-19,95.1633
2026-01-20,95.1158
2026-01-21,95.0591
2026-01-22,94.9932
2026-01-23,94.9186
2026-01-26,94.8354
2026-01-27,94.7442
2026-01-28,94.6452
2026-01-29,94.5389
2026-01-30,94.4256
2026-02-02,94.3059
2026-02-03,94.1803
2026-02-04,94.0491
2026-02-05,93.9130
2026-02-06,93.7724
2026-02-09,93.6280
2026-02-10,93.4802
2026-02-11,93.3296
2026-02-12,93.1769
2026-02-13,93.0225
2026-02-16,92.8671
2026-02-17,92.7113
2026-02-18,92.5555
2026-02-19,92.4005
2026-02-20,92.2467
2026-02-23,92.0948
2026-02-24,91.9453
2026-02-25,91.7987
2026-02-26,91.6555
2026-02-27,91.5164
2026-03-02,91.3817
2026-03-03,91.2520
2026-03-04,91.1277
2026-03-05,91.0093
2026-03-06,90.8972
2026-03-09,90.7918
2026-03-10,90.6935
2026-03-11,90.6026
2026-03-12,90.5194
2026-03-13,90.4444
2026-03-16,90.3777
2026-03-17,90.3196
2026-03-18,90.2703
2026-03-19,90.2299
2026-03-20,90.1988
2026-03-23,90.1770
2026-03-24,90.1646
2026-03-25,90.1616
